name,serving_note,ingredients,steps
Chicken Korma,1 serving (~200g),Chicken breast 120g|Onion 40g|Tomato 30g|Oil 10ml|Ginger 5g|Salt to taste,"Marinate chicken in spices for 15 min|Heat oil; sear chicken 3 min per side|Add onion, tomato gravy; cook 20 min|Garnish; serve hot"
Mint Pulao,1 bowl (~200g),Rice basmati 80g|Oil 10ml|Salt to taste|Water 200ml,Wash rice; soak 15 min|Boil water; add rice and salt|Cook covered 12 min until tender|Fluff with fork; serve
Coconut Chutney,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Prawn Malai Curry,1 serving (~200g),Fish fillet 120g|Onion 30g|Tomato 20g|Oil 10ml|Turmeric powder 1g|Salt to taste,Clean and cut fish; marinate with turmeric and salt|Heat oil; fry fish 3 min per side until golden|Add curry gravy if desired; simmer 5 min|Serve with rice or roti
Misal Pav,1 serving (~200g),Potato 80g|Chickpeas 40g|Yoghurt 60g|Chutney 20g|Oil 10ml|Salt to taste,Boil and cube potato|Mix with chickpeas and spices|Arrange on plate; top with yoghurt and chutney|Garnish with sev and coriander; serve
Pudina Chutney,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Aloo Posto,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Puttu,2 pieces (~150g),Rice 80g|Urad dal 20g|Fenugreek seeds 2g|Oil 10ml|Salt to taste,Soak rice and dal separately for 4 hours|Grind to smooth batter; ferment overnight|Add salt; heat tawa; pour batter; spread into dosa|Cook 2 min; flip; cook 1 min; serve with chutney
Khaman Dhokla,1 serving (~200g),Semolina 80g|Yoghurt 40g|Oil 10ml|Mustard seeds 2g|Salt to taste,Roast semolina until fragrant; cool|Mix with yoghurt and water; rest 30 min|Add tempering and salt|Pour into greased moulds; steam 10 min|Demould; serve hot
Hydrabadi Biryani,1 bowl (~200g),Rice basmati 80g|Oil 10ml|Salt to taste|Water 200ml,Wash rice; soak 15 min|Boil water; add rice and salt|Cook covered 12 min until tender|Fluff with fork; serve
Aloo Matar,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Kanda Poha,1 serving (~200g),Semolina 80g|Yoghurt 40g|Oil 10ml|Mustard seeds 2g|Salt to taste,Roast semolina until fragrant; cool|Mix with yoghurt and water; rest 30 min|Add tempering and salt|Pour into greased moulds; steam 10 min|Demould; serve hot
Methi Muthia,1 serving (~200g),Semolina 80g|Yoghurt 40g|Oil 10ml|Mustard seeds 2g|Salt to taste,Roast semolina until fragrant; cool|Mix with yoghurt and water; rest 30 min|Add tempering and salt|Pour into greased moulds; steam 10 min|Demould; serve hot
Lucknowi Biryani,1 bowl (~200g),Rice basmati 80g|Oil 10ml|Salt to taste|Water 200ml,Wash rice; soak 15 min|Boil water; add rice and salt|Cook covered 12 min until tender|Fluff with fork; serve
Aloo Palak,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Prawn Balchao,1 serving (~200g),Fish fillet 120g|Onion 30g|Tomato 20g|Oil 10ml|Turmeric powder 1g|Salt to taste,Clean and cut fish; marinate with turmeric and salt|Heat oil; fry fish 3 min per side until golden|Add curry gravy if desired; simmer 5 min|Serve with rice or roti
Ragi Idli,2 pieces (~150g),Rice 80g|Urad dal 20g|Fenugreek seeds 2g|Oil 10ml|Salt to taste,Soak rice and dal separately for 4 hours|Grind to smooth batter; ferment overnight|Add salt; heat tawa; pour batter; spread into dosa|Cook 2 min; flip; cook 1 min; serve with chutney
Kashmiri Aloo,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Galouti Kebab,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Makki Di Roti,2 pieces (~150g),Wheat flour 80g|Oil 10ml|Salt to taste,Knead flour with water and salt to stiff dough|Rest 15 min|Divide; roll into thin flatbreads|Cook on hot tawa 1 min per side; serve
Sabudana Vada,1 serving (~200g),Semolina 80g|Yoghurt 40g|Oil 10ml|Mustard seeds 2g|Salt to taste,Roast semolina until fragrant; cool|Mix with yoghurt and water; rest 30 min|Add tempering and salt|Pour into greased moulds; steam 10 min|Demould; serve hot
Laal Maas,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Green Moong Dal,1 serving (~200g),Dal 80g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and soak dal for 30 min|Pressure cook dal with turmeric until soft|Temper cumin, onion, tomato in oil|Add to dal; simmer 10 min; serve"
Egg Frankie,1 serving (~200g),Potato 80g|Chickpeas 40g|Yoghurt 60g|Chutney 20g|Oil 10ml|Salt to taste,Boil and cube potato|Mix with chickpeas and spices|Arrange on plate; top with yoghurt and chutney|Garnish with sev and coriander; serve
Gobi Matar,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Bangers and Mash,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Bajra Roti,2 pieces (~150g),Wheat flour 80g|Oil 10ml|Salt to taste,Knead flour with water and salt to stiff dough|Rest 15 min|Divide; roll into thin flatbreads|Cook on hot tawa 1 min per side; serve
Chicken Vindaloo,1 serving (~200g),Chicken breast 120g|Onion 40g|Tomato 30g|Oil 10ml|Ginger 5g|Salt to taste,"Marinate chicken in spices for 15 min|Heat oil; sear chicken 3 min per side|Add onion, tomato gravy; cook 20 min|Garnish; serve hot"
Nicoise Salad,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Dahi Aloo,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Jowar Roti,2 pieces (~150g),Wheat flour 80g|Oil 10ml|Salt to taste,Knead flour with water and salt to stiff dough|Rest 15 min|Divide; roll into thin flatbreads|Cook on hot tawa 1 min per side; serve
Pumpkin Soup,1 cup (~250ml),Vegetable 150g|Water 250ml|Oil 5ml|Salt to taste|Black pepper powder 1g,Chop vegetables|Heat oil; sauté onion and garlic|Add vegetables and stock; boil|Simmer 20 min; blend if desired|Season; serve hot
Grilled Salmon,1 serving (~200g),Fish fillet 120g|Onion 30g|Tomato 20g|Oil 10ml|Turmeric powder 1g|Salt to taste,Clean and cut fish; marinate with turmeric and salt|Heat oil; fry fish 3 min per side until golden|Add curry gravy if desired; simmer 5 min|Serve with rice or roti
Egg Pulao,1 bowl (~200g),Rice basmati 80g|Oil 10ml|Salt to taste|Water 200ml,Wash rice; soak 15 min|Boil water; add rice and salt|Cook covered 12 min until tender|Fluff with fork; serve
Kulfi,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Wonton Soup,1 cup (~250ml),Vegetable 150g|Water 250ml|Oil 5ml|Salt to taste|Black pepper powder 1g,Chop vegetables|Heat oil; sauté onion and garlic|Add vegetables and stock; boil|Simmer 20 min; blend if desired|Season; serve hot
Kulcha,2 pieces (~150g),Wheat flour 80g|Oil 10ml|Salt to taste,Knead flour with water and salt to stiff dough|Rest 15 min|Divide; roll into thin flatbreads|Cook on hot tawa 1 min per side; serve
Cream of Mushroom Soup,1 cup (~250ml),Vegetable 150g|Water 250ml|Oil 5ml|Salt to taste|Black pepper powder 1g,Chop vegetables|Heat oil; sauté onion and garlic|Add vegetables and stock; boil|Simmer 20 min; blend if desired|Season; serve hot
Egg Keema,1 serving (~200g),Eggs whole 2|Onion 30g|Oil 10ml|Salt to taste|Black pepper powder 1g,Beat eggs with salt and pepper|Heat oil; sauté onion until soft|Pour eggs; cook 2 min; fold|Cook 1 min more; serve hot
Steak Diane,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Roomali Roti,2 pieces (~150g),Wheat flour 80g|Oil 10ml|Salt to taste,Knead flour with water and salt to stiff dough|Rest 15 min|Divide; roll into thin flatbreads|Cook on hot tawa 1 min per side; serve
Garlic Chicken,1 serving (~200g),Chicken breast 120g|Onion 40g|Tomato 30g|Oil 10ml|Ginger 5g|Salt to taste,"Marinate chicken in spices for 15 min|Heat oil; sear chicken 3 min per side|Add onion, tomato gravy; cook 20 min|Garnish; serve hot"
Wiener Schnitzel,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Manchow Soup,1 cup (~250ml),Vegetable 150g|Water 250ml|Oil 5ml|Salt to taste|Black pepper powder 1g,Chop vegetables|Heat oil; sauté onion and garlic|Add vegetables and stock; boil|Simmer 20 min; blend if desired|Season; serve hot
Egg Toast,1 serving (~200g),Bread whole wheat 2 slices|Butter 10g|Salt to taste,Toast bread until golden|Spread butter or filling|Serve immediately
French Onion Soup,1 cup (~250ml),Vegetable 150g|Water 250ml|Oil 5ml|Salt to taste|Black pepper powder 1g,Chop vegetables|Heat oil; sauté onion and garlic|Add vegetables and stock; boil|Simmer 20 min; blend if desired|Season; serve hot
Kala Chana,1 serving (~200g),Dal 80g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and soak dal for 30 min|Pressure cook dal with turmeric until soft|Temper cumin, onion, tomato in oil|Add to dal; simmer 10 min; serve"
Sweet and Sour Chicken,1 serving (~200g),Chicken breast 120g|Onion 40g|Tomato 30g|Oil 10ml|Ginger 5g|Salt to taste,"Marinate chicken in spices for 15 min|Heat oil; sear chicken 3 min per side|Add onion, tomato gravy; cook 20 min|Garnish; serve hot"
Shepherds Pie,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Jeera Aloo,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Falooda,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Mutabbal,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Kung Pao Chicken,1 serving (~200g),Chicken breast 120g|Onion 40g|Tomato 30g|Oil 10ml|Ginger 5g|Salt to taste,"Marinate chicken in spices for 15 min|Heat oil; sear chicken 3 min per side|Add onion, tomato gravy; cook 20 min|Garnish; serve hot"
Scrambled Eggs,1 serving (~200g),Eggs whole 2|Onion 30g|Oil 10ml|Salt to taste|Black pepper powder 1g,Beat eggs with salt and pepper|Heat oil; sauté onion until soft|Pour eggs; cook 2 min; fold|Cook 1 min more; serve hot
Onigiri,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Phool Gobi,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Cobb Salad,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Dim Sum,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Lamb Chops,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Curd Rice,1 bowl (~200g),Rice basmati 80g|Oil 10ml|Salt to taste|Water 200ml,Wash rice; soak 15 min|Boil water; add rice and salt|Cook covered 12 min until tender|Fluff with fork; serve
Muhammara,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Omelette,1 serving (~200g),Eggs whole 2|Onion 30g|Oil 10ml|Salt to taste|Black pepper powder 1g,Beat eggs with salt and pepper|Heat oil; sauté onion until soft|Pour eggs; cook 2 min; fold|Cook 1 min more; serve hot
Lemon Chicken,1 serving (~200g),Chicken breast 120g|Onion 40g|Tomato 30g|Oil 10ml|Ginger 5g|Salt to taste,"Marinate chicken in spices for 15 min|Heat oil; sear chicken 3 min per side|Add onion, tomato gravy; cook 20 min|Garnish; serve hot"
Gyoza,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Boiled Eggs,1 serving (~200g),Eggs whole 2|Onion 30g|Oil 10ml|Salt to taste|Black pepper powder 1g,Beat eggs with salt and pepper|Heat oil; sauté onion until soft|Pour eggs; cook 2 min; fold|Cook 1 min more; serve hot
Gajar Ka Halwa,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Ratatouille,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Burrito Bowl,1 bowl (~200g),Rice basmati 80g|Oil 10ml|Salt to taste|Water 200ml,Wash rice; soak 15 min|Boil water; add rice and salt|Cook covered 12 min until tender|Fluff with fork; serve
Yakitori,1 serving (~200g),Chicken breast 120g|Onion 40g|Tomato 30g|Oil 10ml|Ginger 5g|Salt to taste,"Marinate chicken in spices for 15 min|Heat oil; sear chicken 3 min per side|Add onion, tomato gravy; cook 20 min|Garnish; serve hot"
Lauki Kofta,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Dolma,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Sweet and Sour Pork,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Egg Cutlet,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Baklava,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Hummus Bowl,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Miso Glazed Salmon,1 serving (~200g),Fish fillet 120g|Onion 30g|Tomato 20g|Oil 10ml|Turmeric powder 1g|Salt to taste,Clean and cut fish; marinate with turmeric and salt|Heat oil; fry fish 3 min per side until golden|Add curry gravy if desired; simmer 5 min|Serve with rice or roti
Gulab Jamun,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Quiche Lorraine,1 serving (~200g),Eggs whole 2|Onion 30g|Oil 10ml|Salt to taste|Black pepper powder 1g,Beat eggs with salt and pepper|Heat oil; sauté onion until soft|Pour eggs; cook 2 min; fold|Cook 1 min more; serve hot
Congee,1 serving (~200g),Semolina 80g|Yoghurt 40g|Oil 10ml|Mustard seeds 2g|Salt to taste,Roast semolina until fragrant; cool|Mix with yoghurt and water; rest 30 min|Add tempering and salt|Pour into greased moulds; steam 10 min|Demould; serve hot
Knafeh,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Acai Bowl,1 serving (~200g),Mixed fruits 200g|Honey 10g|Nuts 10g,Wash and chop fruits|Arrange in bowl|Drizzle honey; sprinkle nuts; serve
Pork Ribs,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Mapo Tofu,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Soba Noodles,1 serving (~200g),Pasta penne 80g|Tomato 40g|Oil 10ml|Garlic 5g|Salt to taste,Boil pasta in salted water 10 min|Drain; reserve some water|Heat oil; sauté garlic and tomato|Toss pasta with sauce; serve
Rasmalai,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Lamb Kofta,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Egg Kofta,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Falafel Bowl,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Peking Duck,1 serving (~200g),Chicken breast 120g|Onion 40g|Tomato 30g|Oil 10ml|Ginger 5g|Salt to taste,"Marinate chicken in spices for 15 min|Heat oil; sear chicken 3 min per side|Add onion, tomato gravy; cook 20 min|Garnish; serve hot"
Udon Noodles,1 serving (~200g),Pasta penne 80g|Tomato 40g|Oil 10ml|Garlic 5g|Salt to taste,Boil pasta in salted water 10 min|Drain; reserve some water|Heat oil; sauté garlic and tomato|Toss pasta with sauce; serve
Karela Masala,1 serving (~200g),Vegetable 150g|Onion 40g|Tomato 30g|Oil 10ml|Cumin seeds 2g|Salt to taste,"Wash and chop vegetables|Heat oil; temper cumin and spices|Add onion, tomato; sauté 3 min|Add vegetables; cook covered 15 min|Serve hot"
Fish and Chips,1 serving (~200g),Fish fillet 120g|Onion 30g|Tomato 20g|Oil 10ml|Turmeric powder 1g|Salt to taste,Clean and cut fish; marinate with turmeric and salt|Heat oil; fry fish 3 min per side until golden|Add curry gravy if desired; simmer 5 min|Serve with rice or roti
Moong Dal Halwa,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
Mujaddara,1 bowl (~200g),Rice basmati 80g|Oil 10ml|Salt to taste|Water 200ml,Wash rice; soak 15 min|Boil water; add rice and salt|Cook covered 12 min until tender|Fluff with fork; serve
Char Siu,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Buddha Bowl,1 serving (~200g),Mixed vegetables 150g|Oil 5ml|Lemon juice 10ml|Salt to taste,"Wash and chop vegetables|Mix with oil, lemon and spices|Toss well; serve fresh"
