name,category,meal_type,food_type,food_group,difficulty,cook_time_mins,calories,protein,carbohydrate,fat,portion_min,portion_typical,portion_max,role,cuisine,description,tags,source
Kanda Poha,recipe,Breakfast,vegan,grain_breakfast,Easy,19,217,5.4,34.3,6.3,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Kanda_Poha
Methi Muthia,recipe,Breakfast; Snack,veg,grain_breakfast,Medium,20,240,6.0,38.0,7.0,0.5,1.0,1.5,side,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Methi_Muthia
Lucknowi Biryani,recipe,Lunch; Dinner,non-veg,rice,Hard,27,266,4.8,48.4,4.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Lucknowi_Biryani
Aloo Palak,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Aloo_Palak
Prawn Balchao,recipe,Lunch; Dinner,non-veg,fish,Hard,33,266,24.2,7.3,14.5,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian fish prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Prawn_Balchao
Ragi Idli,recipe,Breakfast,vegan,south_indian,Easy,19,162,3.6,28.9,3.6,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Ragi_Idli
Kashmiri Aloo,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Kashmiri_Aloo
Galouti Kebab,recipe,Snack,non-veg,kabab,Hard,44,339,21.8,12.1,21.8,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian kabab prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Galouti_Kebab
Makki Di Roti,recipe,Lunch; Dinner,vegan,roti,Easy,23,199,4.5,31.6,5.4,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian roti prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Makki_Di_Roti
Sabudana Vada,recipe,Breakfast,veg,grain_breakfast,Medium,20,240,6.0,38.0,7.0,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Sabudana_Vada
Laal Maas,recipe,Lunch; Dinner,non-veg,kabab,Hard,44,339,21.8,12.1,21.8,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian kabab prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Laal_Maas
Green Moong Dal,recipe,Lunch; Dinner,vegan,dal,Easy,33,180,9.0,25.3,4.5,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian dal prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Green_Moong_Dal
Egg Frankie,recipe,Breakfast,egg,chaat,Easy,19,266,7.6,36.1,9.5,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian chaat prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Egg_Frankie
Gobi Matar,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Gobi_Matar
Bangers and Mash,recipe,Lunch; Dinner,non-veg,kabab,Easy,38,293,18.8,10.5,18.8,0.5,1.0,1.5,complete_meal,continental,A refined continental dish showcasing clean flavours and precise technique. The preparation highlights the natural qualities of the main ingredient with subtle herb and butter notes.,balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Bangers_and_Mash
Bajra Roti,recipe,Lunch; Dinner,vegan,roti,Easy,23,199,4.5,31.6,5.4,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian roti prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Bajra_Roti
Chicken Vindaloo,recipe,Lunch; Dinner,non-veg,chicken,Hard,38,315,26.6,9.7,16.9,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian chicken prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Chicken_Vindaloo
Nicoise Salad,recipe,Lunch; Dinner,non-veg,veg_raw,Easy,14,157,3.1,23.0,6.3,0.5,1.0,1.5,complete_meal,continental,A refined continental dish showcasing clean flavours and precise technique. The preparation highlights the natural qualities of the main ingredient with subtle herb and butter notes.,balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Nicoise_Salad
Dahi Aloo,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Dahi_Aloo
Jowar Roti,recipe,Lunch; Dinner,vegan,roti,Easy,23,199,4.5,31.6,5.4,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian roti prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Jowar_Roti
Pumpkin Soup,recipe,Snack; Dinner,veg,soup,Easy,23,114,3.8,15.2,3.8,0.5,1.0,1.5,side,continental,A refined continental dish showcasing clean flavours and precise technique. The preparation highlights the natural qualities of the main ingredient with subtle herb and butter notes.,accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Pumpkin_Soup
Grilled Salmon,recipe,Lunch; Dinner,non-veg,fish,Easy,28,230,20.9,6.3,12.5,0.5,1.0,1.5,anchor_protein,continental,A refined continental dish showcasing clean flavours and precise technique. The preparation highlights the natural qualities of the main ingredient with subtle herb and butter notes.,high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Grilled_Salmon
Egg Pulao,recipe,Breakfast,egg,rice,Easy,23,209,3.8,38.0,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Egg_Pulao
Kulfi,recipe,Lunch; Dinner,dairy,veg_raw,Easy,14,150,3.0,21.9,6.0,0.5,1.0,1.5,side,indian,"A traditional Indian veg_raw prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Kulfi
Wonton Soup,recipe,Snack; Dinner,non-veg,soup,Medium,25,132,4.4,17.6,4.4,0.5,1.0,1.5,side,chinese,"A classic Chinese preparation featuring bold wok-hei flavours, soy sauce and fresh aromatics. The texture is satisfying with a savoury-sweet balance typical of the cuisine.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Wonton_Soup
Kulcha,recipe,Lunch; Dinner,veg,roti,Medium,25,220,5.0,35.0,6.0,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian roti prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Kulcha
Cream of Mushroom Soup,recipe,Snack; Dinner,veg,soup,Easy,23,114,3.8,15.2,3.8,0.5,1.0,1.5,side,continental,A refined continental dish showcasing clean flavours and precise technique. The preparation highlights the natural qualities of the main ingredient with subtle herb and butter notes.,accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Cream_of_Mushroom_Soup
Egg Keema,recipe,Breakfast,egg,egg,Easy,14,209,11.4,5.7,14.2,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian egg prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Egg_Keema
Steak Diane,recipe,Lunch; Dinner,non-veg,kabab,Medium,40,308,19.8,11.0,19.8,0.5,1.0,1.5,anchor_protein,continental,A refined continental dish showcasing clean flavours and precise technique. The preparation highlights the natural qualities of the main ingredient with subtle herb and butter notes.,high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Steak_Diane
Roomali Roti,recipe,Lunch; Dinner,vegan,roti,Easy,23,199,4.5,31.6,5.4,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian roti prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Roomali_Roti
Garlic Chicken,recipe,Lunch; Dinner,non-veg,chicken,Easy,33,272,23.0,8.4,14.6,0.5,1.0,1.5,anchor_protein,chinese,"A classic Chinese preparation featuring bold wok-hei flavours, soy sauce and fresh aromatics. The texture is satisfying with a savoury-sweet balance typical of the cuisine.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Garlic_Chicken
Wiener Schnitzel,recipe,Lunch; Dinner,non-veg,kabab,Medium,40,308,19.8,11.0,19.8,0.5,1.0,1.5,complete_meal,continental,A refined continental dish showcasing clean flavours and precise technique. The preparation highlights the natural qualities of the main ingredient with subtle herb and butter notes.,balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Wiener_Schnitzel
Manchow Soup,recipe,Snack; Dinner,veg,soup,Easy,23,114,3.8,15.2,3.8,0.5,1.0,1.5,side,chinese,"A classic Chinese preparation featuring bold wok-hei flavours, soy sauce and fresh aromatics. The texture is satisfying with a savoury-sweet balance typical of the cuisine.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Manchow_Soup
Egg Toast,recipe,Breakfast,egg,toast,Easy,14,266,9.5,28.5,11.4,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian toast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Egg_Toast
French Onion Soup,recipe,Snack; Dinner,veg,soup,Medium,25,120,4.0,16.0,4.0,0.5,1.0,1.5,side,continental,A refined continental dish showcasing clean flavours and precise technique. The preparation highlights the natural qualities of the main ingredient with subtle herb and butter notes.,accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/French_Onion_Soup
Kala Chana,recipe,Lunch; Dinner,vegan,dal,Easy,33,180,9.0,25.3,4.5,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian dal prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Kala_Chana
Sweet and Sour Chicken,recipe,Lunch; Dinner,non-veg,chicken,Medium,35,286,24.2,8.8,15.4,0.5,1.0,1.5,anchor_protein,chinese,"A classic Chinese preparation featuring bold wok-hei flavours, soy sauce and fresh aromatics. The texture is satisfying with a savoury-sweet balance typical of the cuisine.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Sweet_and_Sour_Chicken
Shepherds Pie,recipe,Lunch; Dinner,non-veg,kabab,Medium,40,308,19.8,11.0,19.8,0.5,1.0,1.5,complete_meal,continental,A refined continental dish showcasing clean flavours and precise technique. The preparation highlights the natural qualities of the main ingredient with subtle herb and butter notes.,balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Shepherds_Pie
Jeera Aloo,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Jeera_Aloo
Falooda,recipe,Lunch; Dinner,dairy,veg_raw,Medium,15,158,3.2,23.1,6.3,0.5,1.0,1.5,side,indian,"A traditional Indian veg_raw prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Falooda
Mutabbal,recipe,Snack; Lunch,vegan,veg_raw,Easy,14,135,2.7,19.9,5.4,0.5,1.0,1.5,side,middle_eastern,"An authentic Middle Eastern dish characterised by earthy spices, tahini and fresh herbs. The flavour is aromatic and nuanced with a satisfying richness.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Mutabbal
Kung Pao Chicken,recipe,Lunch; Dinner,non-veg,chicken,Medium,35,286,24.2,8.8,15.4,0.5,1.0,1.5,anchor_protein,chinese,"A classic Chinese preparation featuring bold wok-hei flavours, soy sauce and fresh aromatics. The texture is satisfying with a savoury-sweet balance typical of the cuisine.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Kung_Pao_Chicken
Scrambled Eggs,recipe,Breakfast,egg,egg,Easy,14,209,11.4,5.7,14.2,0.5,1.0,1.5,complete_meal,continental,A refined continental dish showcasing clean flavours and precise technique. The preparation highlights the natural qualities of the main ingredient with subtle herb and butter notes.,balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Scrambled_Eggs
