name,category,meal_type,food_type,food_group,difficulty,cook_time_mins,calories,protein,carbohydrate,fat,portion_min,portion_typical,portion_max,role,cuisine,description,tags,source
Milk Tea,recipe,Breakfast; Snack,dairy,drink,Easy,5,105,4.0,13.0,4.0,0.5,1.0,1.5,side,unknown,,,
Milk Coffee,recipe,Breakfast; Snack,dairy,drink,Easy,5,130,5.0,15.0,5.0,0.5,1.0,1.5,side,unknown,,,
Toasted Brown Bread with Butter,recipe,Breakfast; Snack,veg,toast,Easy,5,190,6.0,29.0,6.0,0.5,1.0,1.5,side,unknown,,,
Red Sauce Pasta (Veg),recipe,Lunch; Dinner,vegan,pasta,Easy,25,385,12.0,64.0,10.0,0.5,1.0,1.5,side,unknown,,,
Red Sauce Pasta (Chicken),recipe,Lunch; Dinner,non-veg,pasta,Medium,30,530,42.0,57.0,14.0,0.5,1.0,1.5,side,unknown,,,
Idli,recipe,Breakfast; Lunch,vegan,south_indian,Hard,45,130,5.0,26.0,1.0,0.5,1.0,1.5,side,unknown,,,
Sambhar,recipe,Breakfast; Lunch; Dinner,vegan,dal,Medium,25,215,10.0,30.0,5.0,0.5,1.0,1.5,side,unknown,,,
Rasam,recipe,Lunch; Dinner,vegan,soup,Easy,20,65,2.0,10.0,2.0,0.5,1.0,1.5,side,unknown,,,
Plain Dosa,recipe,Breakfast; Lunch,vegan,south_indian,Hard,45,175,5.0,32.0,4.0,0.5,1.0,1.5,side,unknown,,,
Masala Dosa,recipe,Breakfast; Lunch,vegan,south_indian,Hard,50,305,7.0,54.0,8.0,0.5,1.0,1.5,side,unknown,,,
Multigrain Idli,recipe,Breakfast; Lunch,vegan,south_indian,Hard,50,145,7.0,27.0,2.0,0.5,1.0,1.5,side,unknown,,,
Multigrain Dosa,recipe,Breakfast; Lunch,vegan,south_indian,Hard,50,190,7.0,33.0,4.0,0.5,1.0,1.5,side,unknown,,,
Tomato Rice,recipe,Lunch; Dinner,vegan,rice,Medium,25,405,8.0,70.0,11.0,0.5,1.0,1.5,side,unknown,,,
Tehri,recipe,Lunch; Dinner,veg,rice,Medium,30,445,8.0,78.0,10.0,0.5,1.0,1.5,side,unknown,,,
Buttermilk (Chaach),recipe,Snack; Lunch; Dinner,dairy,drink,Easy,5,65,3.0,6.0,3.0,0.5,1.0,1.5,side,unknown,,,
Tomato Soup (Indian Style),recipe,Snack; Dinner,veg,soup,Easy,25,90,2.0,12.0,4.0,0.5,1.0,1.5,side,unknown,,,
Vegetable Clear Soup,recipe,Snack; Lunch; Dinner,vegan,soup,Easy,20,75,2.0,9.0,3.0,0.5,1.0,1.5,side,unknown,,,
Daliya,recipe,Breakfast; Lunch,vegan,grain_breakfast,Easy,25,355,15.0,58.0,5.0,0.5,1.0,1.5,side,unknown,,,
Plain Paratha,recipe,Breakfast; Lunch,veg,roti,Easy,20,290,8.0,42.0,10.0,0.5,1.0,1.5,side,unknown,,,
Masala Paratha,recipe,Breakfast; Lunch,vegan,roti,Medium,25,310,10.0,43.0,9.0,0.5,1.0,1.5,side,unknown,,,
Multigrain Paratha / Roti,recipe,Breakfast; Lunch; Dinner,veg,roti,Easy,20,265,8.0,38.0,8.0,0.5,1.0,1.5,side,unknown,,,
Aloo Bhuiya,recipe,Lunch; Dinner,vegan,veg_curry,Easy,25,248,3.0,27.0,15.0,0.5,1.0,1.5,side,unknown,,,
Bhindi Bhujiya,recipe,Lunch; Dinner,vegan,veg_curry,Easy,25,165,4.0,16.0,10.0,0.5,1.0,1.5,side,unknown,,,
Dal Tadka,recipe,Lunch; Dinner,vegan,dal,Medium,20,268,14.0,36.0,8.0,0.5,1.0,1.5,side,unknown,,,
Rajma,recipe,Lunch; Dinner,vegan,dal,Hard,40,308,16.0,42.0,8.0,0.5,1.0,1.5,side,unknown,,,
Paneer Bhurji,recipe,Breakfast; Lunch; Dinner,veg,paneer,Easy,15,280,17.0,12.0,17.0,0.5,1.0,1.5,side,unknown,,,
Chole,recipe,Lunch; Dinner,vegan,dal,Hard,40,328,14.0,46.0,10.0,0.5,1.0,1.5,side,unknown,,,
Aloo Gobi,recipe,Lunch; Dinner,vegan,veg_curry,Medium,25,230,5.0,30.0,9.0,0.5,1.0,1.5,side,unknown,,,
Dal Makhani,recipe,Lunch; Dinner,veg,dal,Hard,35,330,15.0,34.0,15.0,0.5,1.0,1.5,side,unknown,,,
Palak Paneer,recipe,Lunch; Dinner,veg,paneer,Medium,25,290,13.0,22.0,17.0,0.5,1.0,1.5,side,unknown,,,
Masoor Dal,recipe,Lunch; Dinner,vegan,dal,Easy,20,238,14.0,32.0,6.0,0.5,1.0,1.5,side,unknown,,,
Egg Curry,recipe,Lunch; Dinner,egg,egg,Medium,30,278,20.0,22.0,14.0,0.5,1.0,1.5,side,unknown,,,
Chicken Curry,recipe,Lunch; Dinner,non-veg,chicken,Medium,35,340,27.0,16.0,17.0,0.5,1.0,1.5,side,unknown,,,
Steamed Rice,recipe,Lunch; Dinner,vegan,rice,Easy,20,212,4.0,46.0,0.0,0.5,1.0,1.5,side,unknown,,,
Whole Wheat Roti (Chapati),recipe,Breakfast; Lunch; Dinner,vegan,roti,Easy,20,150,5.0,30.0,1.0,0.5,1.0,1.5,side,unknown,,,
Banana,ingredient,Breakfast; Snack,vegan,fruit,Easy,0,89,1.0,23.0,0.0,0.5,1.0,1.5,side,unknown,,,
Apple,ingredient,Breakfast; Snack,vegan,fruit,Easy,0,78,0.0,21.0,0.0,0.5,1.0,1.5,side,unknown,,,
Orange,ingredient,Breakfast; Snack,vegan,fruit,Easy,0,61,1.0,15.0,0.0,0.5,1.0,1.5,side,unknown,,,
Pomegranate,ingredient,Breakfast; Snack,vegan,fruit,Easy,0,72,1.0,16.0,1.0,0.5,1.0,1.5,side,unknown,,,
Watermelon,ingredient,Breakfast; Snack,vegan,fruit,Easy,0,85,2.0,21.0,0.0,0.5,1.0,1.5,side,unknown,,,
Muskmelon,ingredient,Breakfast; Snack,vegan,fruit,Easy,0,65,2.0,16.0,0.0,0.5,1.0,1.5,side,unknown,,,
Chia Seeds,ingredient,Snack,vegan,seed,Easy,0,138,5.0,12.0,9.0,0.5,1.0,1.5,side,unknown,,,
Flaxseed,ingredient,Snack,vegan,seed,Easy,0,110,4.0,6.0,9.0,0.5,1.0,1.5,side,unknown,,,
Watermelon Seeds,ingredient,Snack,vegan,seed,Easy,0,158,8.0,4.0,13.0,0.5,1.0,1.5,side,unknown,,,
Basil Seeds,ingredient,Snack,vegan,seed,Easy,0,60,2.0,7.0,3.0,0.5,1.0,1.5,side,unknown,,,
Almonds,ingredient,Snack,vegan,nut,Easy,0,173,6.0,6.0,15.0,0.5,1.0,1.5,side,unknown,,,
Peanuts,ingredient,Snack,vegan,nut,Easy,0,170,8.0,5.0,15.0,0.5,1.0,1.5,side,unknown,,,
Walnuts,ingredient,Snack,vegan,nut,Easy,0,196,5.0,4.0,20.0,0.5,1.0,1.5,side,unknown,,,
Cashews,ingredient,Snack,vegan,nut,Easy,0,163,4.0,9.0,13.0,0.5,1.0,1.5,side,unknown,,,
Raisins,ingredient,Snack,vegan,nut,Easy,0,120,1.0,32.0,0.0,0.5,1.0,1.5,side,unknown,,,
Cucumber (Raw),ingredient,Snack,vegan,veg_raw,Easy,0,30,1.0,7.0,0.0,0.5,1.0,1.5,side,unknown,,,
Tomato (Raw),ingredient,Snack,vegan,veg_raw,Easy,0,27,1.0,6.0,0.0,0.5,1.0,1.5,side,unknown,,,
Carrot (Raw),ingredient,Snack,vegan,veg_raw,Easy,0,50,1.0,12.0,0.0,0.5,1.0,1.5,side,unknown,,,
Onion (Raw),ingredient,Snack,vegan,veg_raw,Easy,0,44,1.0,10.0,0.0,0.5,1.0,1.5,side,unknown,,,
Beetroot (Raw),ingredient,Snack,vegan,veg_raw,Easy,0,56,2.0,13.0,0.0,0.5,1.0,1.5,side,unknown,,,
Set Dosa,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Set_Dosa
Dahi Puri,recipe,Snack,veg,chaat,Easy,19,266,7.6,36.1,9.5,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian chaat prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Dahi_Puri
Rava Idli,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Rava_Idli
Neer Dosa,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Neer_Dosa
Wheat Dosa,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Wheat_Dosa
Tomato Uttapam,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Tomato_Uttapam
Onion Uttapam,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Onion_Uttapam
Rava Kesari,recipe,Breakfast,veg,grain_breakfast,Easy,19,228,5.7,36.1,6.6,0.5,1.0,1.5,side,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Rava_Kesari
Meen Curry,recipe,Lunch; Dinner,non-veg,fish,Medium,30,242,22.0,6.6,13.2,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian fish prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Meen_Curry
Thalipeeth,recipe,Breakfast,veg,grain_breakfast,Medium,20,240,6.0,38.0,7.0,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Thalipeeth
Kadai Chicken,recipe,Lunch; Dinner,non-veg,chicken,Medium,35,286,24.2,8.8,15.4,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian chicken prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Kadai_Chicken
Peas Pulao,recipe,Lunch; Dinner,veg,rice,Easy,23,209,3.8,38.0,3.8,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Peas_Pulao
Shami Kebab,recipe,Snack,non-veg,kabab,Medium,40,308,19.8,11.0,19.8,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian kabab prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Shami_Kebab
Ghee Rice,recipe,Lunch; Dinner,veg,rice,Easy,23,209,3.8,38.0,3.8,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Ghee_Rice
Avalakki,recipe,Breakfast,vegan,grain_breakfast,Easy,19,217,5.4,34.3,6.3,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Avalakki
Keema Matar,recipe,Lunch; Dinner,non-veg,kabab,Medium,40,308,19.8,11.0,19.8,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian kabab prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Keema_Matar
Mysore Bonda,recipe,Breakfast,veg,south_indian,Medium,20,180,4.0,32.0,4.0,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Mysore_Bonda
Moong Dal Khichdi,recipe,Breakfast,vegan,grain_breakfast,Easy,19,217,5.4,34.3,6.3,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Moong_Dal_Khichdi
Methi Rice,recipe,Lunch; Dinner,veg,rice,Easy,23,209,3.8,38.0,3.8,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Methi_Rice
Fish Moilee,recipe,Lunch; Dinner,non-veg,fish,Medium,30,242,22.0,6.6,13.2,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian fish prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Fish_Moilee
Ragi Dosa,recipe,Breakfast,vegan,south_indian,Easy,19,162,3.6,28.9,3.6,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Ragi_Dosa
Chicken Korma,recipe,Lunch; Dinner,non-veg,chicken,Medium,35,286,24.2,8.8,15.4,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian chicken prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Chicken_Korma
Mint Pulao,recipe,Lunch; Dinner,veg,rice,Easy,23,209,3.8,38.0,3.8,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Mint_Pulao
Coconut Chutney,recipe,Lunch; Dinner,vegan,veg_raw,Easy,14,135,2.7,19.9,5.4,0.5,1.0,1.5,side,indian,"A traditional Indian veg_raw prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Coconut_Chutney
Prawn Malai Curry,recipe,Lunch; Dinner,non-veg,fish,Medium,30,242,22.0,6.6,13.2,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian fish prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Prawn_Malai_Curry
Misal Pav,recipe,Snack,veg,chaat,Medium,20,280,8.0,38.0,10.0,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian chaat prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Misal_Pav
Pudina Chutney,recipe,Lunch; Dinner,vegan,veg_raw,Easy,14,135,2.7,19.9,5.4,0.5,1.0,1.5,side,indian,"A traditional Indian veg_raw prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Pudina_Chutney
Aloo Posto,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Aloo_Posto
Puttu,recipe,Breakfast,vegan,south_indian,Easy,19,162,3.6,28.9,3.6,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Puttu
Khaman Dhokla,recipe,Breakfast; Snack,veg,grain_breakfast,Medium,20,240,6.0,38.0,7.0,0.5,1.0,1.5,side,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Khaman_Dhokla
Hydrabadi Biryani,recipe,Lunch; Dinner,non-veg,rice,Hard,27,266,4.8,48.4,4.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Hydrabadi_Biryani
Aloo Matar,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Aloo_Matar
Kanda Poha,recipe,Breakfast,vegan,grain_breakfast,Easy,19,217,5.4,34.3,6.3,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Kanda_Poha
Methi Muthia,recipe,Breakfast; Snack,veg,grain_breakfast,Medium,20,240,6.0,38.0,7.0,0.5,1.0,1.5,side,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Methi_Muthia
Lucknowi Biryani,recipe,Lunch; Dinner,non-veg,rice,Hard,27,266,4.8,48.4,4.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Lucknowi_Biryani
Aloo Palak,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Aloo_Palak
Prawn Balchao,recipe,Lunch; Dinner,non-veg,fish,Hard,33,266,24.2,7.3,14.5,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian fish prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Prawn_Balchao
Ragi Idli,recipe,Breakfast,vegan,south_indian,Easy,19,162,3.6,28.9,3.6,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Ragi_Idli
Kashmiri Aloo,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Kashmiri_Aloo
Galouti Kebab,recipe,Snack,non-veg,kabab,Hard,44,339,21.8,12.1,21.8,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian kabab prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Galouti_Kebab
Makki Di Roti,recipe,Lunch; Dinner,vegan,roti,Easy,23,199,4.5,31.6,5.4,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian roti prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Makki_Di_Roti
Sabudana Vada,recipe,Breakfast,veg,grain_breakfast,Medium,20,240,6.0,38.0,7.0,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Sabudana_Vada
